E10.5_trunk_WT_ChIPM_CTCF_rep1	SRR15338269
E10.5_trunk_WT_ChIPM_CTCF_rep2	SRR15338270
E10.5_trunk_WT_ChIPM_CTCF_rep3	SRR15338271
E10.5_trunk_DelCBS1_ChIPM_CTCF_rep1	SRR15338272
E10.5_trunk_DelCBS1_ChIPM_CTCF_rep2	SRR15338273
E10.5_trunk_DelCBS1_ChIPM_CTCF_rep3	SRR15338274
E10.5_trunk_DelCBS1-2_ChIPM_CTCF	SRR15338275
E10.5_trunk_DelCBS1-3_ChIPM_CTCF_rep1	SRR15338276
E10.5_trunk_DelCBS1-3_ChIPM_CTCF_rep2	SRR15338277
E10.5_trunk_DelCBS1-4_ChIPM_CTCF_rep1	SRR15338278
E10.5_trunk_DelCBS1-4_ChIPM_CTCF_rep2	SRR15338279
E10.5_trunk_DelCBS1-5_ChIPM_CTCF_rep1	SRR15338280
E10.5_trunk_DelCBS1-5_ChIPM_CTCF_rep2	SRR15338281
E10.5_trunk_WT_ChIPM_RAD21_rep1	SRR15338283
E10.5_trunk_WT_ChIPM_RAD21_rep2	SRR15338284
E10.5_trunk_WT_ChIPM_RAD21_rep3	SRR15338285
E10.5_trunk_WT_ChIPM_RAD21_rep4	SRR15338286
E10.5_trunk_DelCBS1_ChIPM_RAD21_rep1	SRR15338287
E10.5_trunk_DelCBS1_ChIPM_RAD21_rep2	SRR15338288
E10.5_trunk_DelCBS1_ChIPM_RAD21_rep3	SRR15338289
E10.5_trunk_DelCBS1-2_ChIPM_RAD21_rep1	SRR15338290
E10.5_trunk_DelCBS1-2_ChIPM_RAD21_rep2	SRR15338291
E10.5_trunk_DelCBS1-3_ChIPM_RAD21_rep1	SRR15338292
E10.5_trunk_DelCBS1-3_ChIPM_RAD21_rep2	SRR15338293
E10.5_trunk_DelCBS1-4_ChIPM_RAD21_rep1	SRR15338294
E10.5_trunk_DelCBS1-4_ChIPM_RAD21_rep2	SRR15338295
E10.5_trunk_DelCBS1-5_ChIPM_RAD21_rep1	SRR15338296
E10.5_trunk_DelCBS1-5_ChIPM_RAD21_rep2	SRR15338297
E10.5_trunk_DelCBS2_ChIPM_CTCF	SRR15338282
E10.5_trunk_DelCBS2_ChIPM_RAD21	SRR15338298
