gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1.4_RNAseq_rep1	E12.5_DFL_DelCBS1.4_RNAseq_rep2	E12.5_DFL_DelCBS1.4_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000050368	Hoxd10	1642.46024636463	1711.09244077227	1513.12064407117	750.026174969804	820.9857356663	791.86916192449	1204.92573396144	1.04184932494458	0.0852568028718138	12.220131295693	2.42692429846169e-34	3.2591166404042e-30
ENSMUSG00000043342	Hoxd9	424.82578321271	287.742056168167	346.474852309678	97.5137765520907	113.026822181844	106.053905614887	229.272866006563	1.74212237761517	0.182242399617889	9.55936917681013	1.18476633745141e-21	7.95511357281748e-18
ENSMUSG00000075334	Rprm	479.674182453788	710.651199219602	646.933513296976	1433.65999143606	1186.78163290936	1549.39705917368	1001.18292974824	-1.18241506725154	0.127968575321329	-9.23988615394443	2.46759644469859e-20	1.10457842186191e-16
ENSMUSG00000042499	Hoxd11	1049.10029093843	846.842279185319	1058.37240041472	513.503397800903	567.189144039797	444.416366386194	746.570646460893	0.954679910968348	0.117582280492611	8.11924983057578	4.69074026284677e-16	1.57479877474423e-12
ENSMUSG00000006574	Slc4a1	1348.27337770794	781.306721908583	1154.01389610437	534.251009833263	524.033448297639	466.637184705503	801.419273092883	1.1070276881035	0.147164543956393	7.5223804480482	5.37877945401794e-14	1.20386048813345e-10
ENSMUSG00000027570	Col9a3	2593.83066229169	3108.84299831515	2313.44146177608	4720.08173736184	3892.23274931658	4774.44582706258	3567.14590602065	-0.740280393243726	0.098326494908648	-7.52879876305462	5.12092337175065e-14	1.20386048813345e-10
ENSMUSG00000001823	Hoxd12	5767.05986929367	5976.02362917233	6303.31593290471	4121.51313022826	4279.60649443071	3228.0788794779	4945.93298925126	0.634107785151107	0.0874327547892984	7.25251979854946	4.09088422695042e-13	7.84806918338816e-10
ENSMUSG00000062329	Cytl1	70.8042972021183	49.1516679575517	76.6936522039651	283.20490424171	131.522120357054	313.111530863	154.081362137567	-1.88535789986401	0.27682970761245	-6.81053314734354	9.72377042568916e-12	1.63225641308225e-08
ENSMUSG00000036103	Colec12	428.81475770297	541.692340615518	388.881930587164	911.85754882221	684.326032482798	982.766192031287	656.389800373658	-0.925231646547007	0.141782793436624	-6.52569768249473	6.76857210255618e-11	9.08951547652269e-08
ENSMUSG00000034271	Jdp2	154.572761497582	233.470422798371	146.169078318145	524.914584418701	304.144903325688	519.159118914781	313.738478212211	-1.33775353330061	0.205460163555723	-6.51101172192824	7.4646318100862e-11	9.1129582343316e-08
ENSMUSG00000062713	Sim2	74.7932716923785	104.447294409797	55.0389739346102	258.307769802879	169.540233272765	259.57955945739	153.617850428303	-1.55806567341384	0.240955565919228	-6.46619499105542	1.0050137815576e-10	1.12469417271142e-07
ENSMUSG00000045608	Dbx2	86.7601951631591	122.879169893879	60.4526435019489	338.186076127464	185.980498317397	288.870638151026	180.521536859146	-1.59442340079323	0.248161539151643	-6.42494161764098	1.31920138070844e-10	1.36273502627182e-07
ENSMUSG00000001911	Nfix	1297.41395295713	1456.11816324247	1011.45393083112	1896.33173975768	1856.7224334781	2203.90116239699	1620.32356377725	-0.662967409783765	0.110889208930039	-5.97864676085875	2.24998853116387e-09	2.15822114178569e-06
ENSMUSG00000028782	Adgrb2	806.770090655123	801.786583557563	577.458087182796	1169.12793802347	1126.15815555728	1178.71340811975	943.335710515996	-0.669844343839621	0.114392627797606	-5.85566007824184	4.75119124975287e-09	3.9877342058082e-06
ENSMUSG00000031636	Pdlim3	93.7409005211144	137.215073048165	94.7392174284275	258.307769802879	203.448279927318	258.569522261058	174.336793831494	-1.14790107528816	0.200091080718372	-5.73689277486499	9.64292621271927e-09	7.54182386101992e-06
ENSMUSG00000041695	Kcnj2	479.674182453788	330.749765631025	413.243443640188	196.064933705799	227.081160928977	234.328629549084	313.52368598481	0.896384002361288	0.158115501834228	5.66917216821079	1.4348912251115e-08	9.63457713101116e-06
ENSMUSG00000017897	Eya2	179.503852061708	292.862021580412	219.253617477218	487.568882760454	383.263678852979	456.536812742181	336.498144245825	-0.941663738936001	0.167201228072916	-5.63191879503027	1.7821559794517e-08	1.13964631657414e-05
ENSMUSG00000036904	Fzd8	394.908474535759	436.221053123272	382.565982758602	629.690025182118	576.436793127402	836.31079856311	542.688854548377	-0.751767122625574	0.136465031122004	-5.50886272068827	3.61159414288564e-08	1.79629991647449e-05
ENSMUSG00000037003	Tns2	594.357199048768	720.891130044092	533.246452382863	1018.70775078886	839.481033841511	1074.67957689752	796.89385716727	-0.667257325537164	0.122044983787043	-5.46730643761209	4.56925734427453e-08	2.19144845986652e-05
