gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1.4_RNAseq_rep1	E12.5_PFL_DelCBS1.4_RNAseq_rep2	E12.5_PFL_DelCBS1.4_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000031906	Smpd3	15.3016254557172	32.2372379169477	15.2207257829336	155.542069520455	79.1471699470703	205.12817838285	83.7628345009957	-2.79236892094192	0.363647099959904	-7.67878781722667	1.60600986243479e-14	2.19011564940233e-10
ENSMUSG00000101174	Hoxd4	331.170893791595	277.937267446116	316.781355357306	141.692433193292	134.249630036803	143.895886328268	224.287911025563	1.13946255065211	0.15910726569912	7.16159972736189	7.97409713939324e-13	5.43713813449528e-09
ENSMUSG00000021388	Aspn	114.762190917879	165.542573087029	82.7626964447016	270.60058669997	271.504848805773	452.098423002998	226.211886493058	-1.44997575779169	0.234309668360998	-6.18828820822591	6.0821053079497e-10	2.07354175211275e-06
ENSMUSG00000055775	Myh8	689.666118754113	799.832011020485	627.854938546012	1150.58517179515	1048.95046752636	1604.28605183005	986.862459912029	-0.844514405983185	0.136056842063333	-6.20707046537267	5.39813980313553e-10	2.07354175211275e-06
ENSMUSG00000000567	Sox9	4271.33944863879	3891.99302094609	4664.20115710772	3231.22669079138	3071.71168427491	2896.28741418173	3671.12656932343	0.479560954855364	0.0786133088832064	6.10025149263001	1.05901708517724e-09	2.8883631981124e-06
ENSMUSG00000013584	Aldh1a2	591.298526538788	649.101141841243	548.897423547044	313.214852322013	393.732123913907	393.927745551145	481.69530228569	0.700507260501054	0.126243625558757	5.54885252542927	2.87550597807256e-08	6.53554583716258e-05
ENSMUSG00000019960	Dusp6	2232.94434328788	2105.00450830664	2398.21560617348	1489.36858349039	1765.28244869288	1644.08704166553	1939.15042193613	0.459032208374369	0.0847030691759833	5.41931021909797	5.9829423002763e-08	0.000116556263069811
ENSMUSG00000032327	Stra6	1138.8781232041	840.782015942013	1226.21972088759	621.10292144127	750.395320131084	582.72731271944	860.017569054249	0.71287784115006	0.132612190326621	5.37565844734378	7.63033162951896e-08	0.000130068540539688
ENSMUSG00000006205	Htra1	248.104927031987	330.213869473599	259.703633671305	477.279774966877	410.763793396188	591.912156527627	386.329692511264	-0.817511791034558	0.155535451236211	-5.25611225310303	1.4713250489002e-07	0.000215341922844683
ENSMUSG00000079277	Hoxd3	124.598950139412	100.196820552675	144.596894937869	50.0717621059	44.081968071786	51.0269100454851	85.7622176421879	1.34627672542069	0.25677165529477	5.243089327267	1.57910040950857e-07	0.000215341922844683
ENSMUSG00000043342	Hoxd9	955.258617735491	934.008622891024	929.415568120384	709.527522607009	675.255601826904	659.267677787667	810.45560182808	0.463568106716628	0.091144093167519	5.08610147521693	3.65498547607325e-07	0.000453118517611009
ENSMUSG00000021186	Fbln5	678.736386285744	906.999045176825	703.95856746068	1074.94485031602	1081.01008066948	1417.52756106358	977.196081828721	-0.640625374615131	0.126735463044465	-5.05482332431585	4.30789372934224e-07	0.000489556223225334
ENSMUSG00000050931	Sgms2	95.0886724748143	88.8702234467206	92.2756500590351	236.509174202336	128.238452572468	264.319394035613	150.883594465165	-1.1874197944508	0.239864846693438	-4.95037022231271	7.40724376348206e-07	0.000777019870789268
ENSMUSG00000005220	Corin	155.202201050846	203.878747907182	105.593785119102	341.979481616892	284.529066645164	284.730158053807	229.318906732166	-0.968569163961921	0.199420394754888	-4.85692130512734	1.19224949497087e-06	0.00116133616877984
ENSMUSG00000075590	Nrbp2	614.250964722364	733.614981785674	551.751309631344	1058.96450070776	826.536901345987	968.490752663307	792.268235142739	-0.58570675395223	0.121202232715957	-4.83247495386377	1.34846080901029e-06	0.00122593067016489
ENSMUSG00000033491	Prss35	477.629308867746	595.081986412845	464.232136379476	764.926067915664	687.277956755573	850.108321357781	639.875962948181	-0.580989516096937	0.122156348786814	-4.75611396269608	1.97355086472502e-06	0.00168208207139095
ENSMUSG00000020241	Col6a2	2878.89153216852	3400.59296188775	2680.75032851918	4258.2304922826	3538.57980067155	4948.58973621114	3617.60580862346	-0.508010471412613	0.107296523405597	-4.7346405576652	2.19443650823245e-06	0.00173124007335754
ENSMUSG00000023886	Smoc2	1829.63721520505	2337.63538732893	1901.63942750527	2889.24720917449	2535.71502703842	2835.05512212715	2388.15489806322	-0.443640272075454	0.0938639169365078	-4.72641976336385	2.28513025741994e-06	0.00173124007335754
ENSMUSG00000035202	Lars2	9848.78192724772	10152.1161137371	11578.2158440053	8722.07481619156	8292.41931204938	7140.70579176518	9289.05230083272	0.386734014831711	0.0824173233541294	4.6923874628881	2.70035082365585e-06	0.0019381412727471
ENSMUSG00000011179	Odc1	1220.85111671687	1130.04588049408	1192.92438323742	775.579634321175	953.773491007733	868.478008974156	1023.60875245857	0.446939080213251	0.0956395921164491	4.67315962273308	2.9660106870043e-06	0.00200308523278338
ENSMUSG00000056758	Hmga2	8138.2787959479	6597.30717586831	8800.43338861993	5384.31246134508	6217.56122394327	5874.21788443624	6835.35182169346	0.429243124248123	0.0920114767804132	4.66510417252098	3.08460731014526e-06	0.00200308523278338
ENSMUSG00000039257	Vstm2b	53.5556890950104	117.622354561836	80.8601057218349	214.136684750764	155.288751161973	188.799567168295	135.043858743286	-1.13657647818205	0.247177039754177	-4.5982283763589	4.26098774265927e-06	0.00252639521072367
ENSMUSG00000041577	Prelp	239.361141057291	289.263864552071	231.164772828304	424.011942939323	340.633389645619	479.65295442756	334.014677575028	-0.709298307822032	0.154067737288346	-4.60380817104194	4.14834595385023e-06	0.00252639521072367
ENSMUSG00000028222	Calb1	22.9524381835759	45.3063884238183	22.8310886744004	106.535664055106	70.1304037505686	88.786823479144	59.4238010944356	-1.52923762928802	0.334147852808102	-4.57652986974675	4.72752235460849e-06	0.00268621759790817
ENSMUSG00000030498	Gas2	3052.67427841559	3848.42918592318	2877.66846833589	4593.81783405619	4114.65097433693	4492.40916040451	3829.94165024538	-0.432322819764035	0.0948219513266681	-4.55931156989855	5.13215819489294e-06	0.0027994896521502
ENSMUSG00000009350	Mpo	52.4627158481734	18.2968107096189	65.6393799389013	4.26142656220426	9.01676619650168	10.205382009097	26.6470802107494	2.52870728286327	0.558974722529755	4.52383118760556	6.07301691392322e-06	0.00306732339463596
ENSMUSG00000026042	Col5a2	7798.36411618161	9652.00328767422	8190.65306194116	11251.2314808598	10173.9178583861	11823.9555957398	9815.02090013044	-0.374582910331962	0.0826688378550036	-4.53112587585855	5.86701654601659e-06	0.00306732339463596
ENSMUSG00000028718	Stil	780.38289824158	467.87558814597	825.724373724149	411.227663252711	440.81968071786	394.948283752054	553.496414639054	0.732202628462263	0.163224237080614	4.48586951030221	7.26171765217898e-06	0.00347092888446998
ENSMUSG00000061723	Tnnt3	278.708177943421	405.143665712991	312.024878550139	475.149061685775	488.909100432536	677.637365404042	439.595374954817	-0.718275251302397	0.1602438049295	-4.48239014056367	7.38116430663852e-06	0.00347092888446998
ENSMUSG00000043122	A530016L24Rik	7.65081272785862	37.4648981196959	50.4186541559676	4.26142656220426	3.00558873216723	2.0410764018194	17.4737427832855	3.37091373893977	0.7616162500922	4.42600028364901	9.59963973846344e-06	0.0043636762371142
ENSMUSG00000022577	Ly6h	80.880020265934	90.6127768476367	58.0290170474344	168.326349207068	112.20864600091	233.703248008322	123.960009562884	-1.16261068467065	0.263945505083648	-4.40473757756247	1.05912011035013e-05	0.00465910353059507
ENSMUSG00000007279	Scube2	44.8119031203148	66.2170292348114	50.4186541559676	128.908153506679	85.1583474114048	170.42987955192	90.9906611635162	-1.24549014168051	0.283389368702819	-4.39497835568636	1.1078379156218e-05	0.00472112051729202
ENSMUSG00000001911	Nfix	1715.96799753401	2038.78747907182	1517.3161014862	2563.24807716586	2095.89720923128	2602.37241231974	2088.93154613482	-0.461235885621112	0.106493852345643	-4.33110339669275	1.48363987645145e-05	0.00613102939247526
ENSMUSG00000070923	Klhl9	2710.57365215563	1680.69275518357	2193.68710346531	1469.12680731992	1544.87260833395	1554.27967998548	1858.87210107398	0.526397001811133	0.122152696932387	4.30933589704122	1.63745508493761e-05	0.00656763970391004
ENSMUSG00000022032	Scara5	203.293023911672	336.312806376805	215.944047045371	495.390837856245	389.724672271017	395.968821952964	339.439034902346	-0.756864061271832	0.1765508772458	-4.28694591088381	1.81146378012928e-05	0.0068619254360064
ENSMUSG00000027102	Hoxd8	496.209854063974	539.32027758353	478.501566800976	270.60058669997	363.676236592234	373.516981532951	420.304250545606	0.58673998736096	0.136750885701572	4.29057540907915	1.78210757152874e-05	0.0068619254360064
ENSMUSG00000013415	Igf2bp1	5217.85428039958	3644.550438016	4572.87680241012	3630.73543099803	3165.88679788281	3004.46446347816	3872.72803553078	0.454604222667342	0.106210600918368	4.28021514553658	1.86712728084675e-05	0.00688162560240735
ENSMUSG00000016995	Matn4	3281.10568700451	3399.72168518729	3426.56589188293	4000.41418526925	4069.56714335443	5410.89354122324	3931.37802232027	-0.415460670013196	0.0972050252633055	-4.27406575830633	1.91940386649159e-05	0.00688813434930151
ENSMUSG00000030074	Gxylt2	1112.64676528001	1170.99588541561	976.029040830619	1449.95038779	1298.41433229624	1763.49001117196	1295.25440379741	-0.468811714060396	0.110051583457629	-4.25992702086738	2.0449366193827e-05	0.00715046171244153
ENSMUSG00000001823	Hoxd12	1087.50838060276	892.187341269038	965.564791854852	806.474976897155	669.244424362569	524.556635267587	824.256091708994	0.557815662281356	0.131299462148169	4.24842305638595	2.1528056137653e-05	0.00716044150119935
ENSMUSG00000043635	Adamts3	171.596799753401	248.313859630543	155.061143913636	319.606992165319	283.527203734442	392.907207350235	261.835534424596	-0.788889372265447	0.185459465271208	-4.25370239859048	2.10264709887002e-05	0.00716044150119935
ENSMUSG00000004661	Arid3b	460.141736918354	442.608563832687	513.69949517401	318.541635524768	361.67251077079	287.791772656536	397.409285812857	0.548725651056391	0.130708210591774	4.19809626780191	2.69168211326124e-05	0.00836019300635036
ENSMUSG00000027737	Slc7a11	281.987097683932	284.907481049781	343.41762547744	188.568125377538	213.396799983873	116.341354903706	238.103080746045	0.812827008344351	0.193526071326476	4.20009047242591	2.66808346132597e-05	0.00836019300635036
ENSMUSG00000027833	Shox2	5400.38081262135	4047.95155032808	5668.76905878134	3465.60515171261	3985.41065885374	3782.11457257135	4391.70530081141	0.428012149791876	0.101965603137154	4.19761308346458	2.69742972999498e-05	0.00836019300635036
ENSMUSG00000030772	Dkk3	498.395800557647	572.428792200935	468.037317825209	729.769298777479	630.171770844395	876.642314581434	629.240882464517	-0.538291147694106	0.128515465875944	-4.18853204962677	2.80764664275581e-05	0.00850841717050243
ENSMUSG00000006574	Slc4a1	797.870470190971	501.855379463834	777.208310291048	480.47584488853	383.713494806683	466.385957815734	567.918242909466	0.640969680928421	0.154232828595318	4.15585765213591	3.24069556551585e-05	0.00948428546961344
ENSMUSG00000024921	Smarca2	3823.22041743564	4251.83029823526	3705.2954327829	5169.11041995376	4539.44084848323	4915.93251378203	4400.80498844547	-0.311595018089441	0.0750999980859438	-4.14906825607179	3.33831269737805e-05	0.00948428546961344
ENSMUSG00000032135	Mcam	1111.55379203317	1115.2341765863	981.736812999219	1412.66290537071	1262.34726751024	1566.52613839639	1241.676848816	-0.402708460215723	0.0969854773219069	-4.15225527920107	3.29214724573803e-05	0.00948428546961344
ENSMUSG00000020583	Matn3	112.576244424205	175.126616792067	133.181350600669	227.986321077928	196.365130501592	431.687658984804	212.820553730211	-1.0207908145798	0.246639119942733	-4.13880334480929	3.49122041081422e-05	0.0097162801514844
ENSMUSG00000020649	Rrm2	2469.02656460466	2126.78642581809	2600.84151815878	1698.1784850384	2071.85249937394	1682.8674933001	2108.25883104899	0.399694074380474	0.0971683529576234	4.11341822943923	3.89843170812817e-05	0.0103221418062819
ENSMUSG00000028845	Tekt2	169.410853259727	189.067043999396	134.132645962103	257.816307013357	248.462001859157	300.038231067452	216.487847193532	-0.709872790961901	0.172379238267041	-4.11808752665563	3.82029606843063e-05	0.0103221418062819
ENSMUSG00000040569	Slc26a7	64.4854215633798	152.473422580158	64.6880845774679	238.639887483438	165.307380269197	215.333560391947	150.154626144265	-1.12777775868032	0.274318045884463	-4.11120513433272	3.93599306245259e-05	0.0103221418062819
