name	chr	start	end	value	stage	tissue	genotype	prot	rep
CBS8	chr2	74661755	74662256	534.732489732449	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS7	chr2	74663501	74664002	136.11499576226	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS6	chr2	74672932	74673433	425.36619130818	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS5	chr2	74686235	74686736	76.1348515051806	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS4	chr2	74691519	74692020	491.021403817122	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS3	chr2	74693983	74694484	75.2684409014003	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS2	chr2	74702151	74702652	665.016747389011	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS1	chr2	74715677	74716178	48.7558752505365	E10.5	trunk	Del(CBS1)	RAD21	rep1
CBS8	chr2	74661755	74662256	609.452698850346	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS7	chr2	74663501	74664002	330.539058814744	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS6	chr2	74672932	74673433	399.336414024977	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS5	chr2	74686235	74686736	60.4816613416234	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS4	chr2	74691519	74692020	493.428395528279	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS3	chr2	74693983	74694484	65.8723142170858	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS2	chr2	74702151	74702652	429.879310684052	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS1	chr2	74715677	74716178	34.0086467765762	E10.5	trunk	Del(CBS1)	RAD21	rep2
CBS8	chr2	74661755	74662256	496.581896387888	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS7	chr2	74663501	74664002	315.325686091197	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS6	chr2	74672932	74673433	325.918217946431	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS5	chr2	74686235	74686736	124.027540302086	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS4	chr2	74691519	74692020	487.187619207386	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS3	chr2	74693983	74694484	73.6044774160176	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS2	chr2	74702151	74702652	596.002149875055	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS1	chr2	74715677	74716178	41.4882013012549	E10.5	trunk	Del(CBS1)	RAD21	rep3
CBS8	chr2	74661755	74662256	592.787805596953	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS7	chr2	74663501	74664002	279.508634447066	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS6	chr2	74672932	74673433	357.00517916455	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS5	chr2	74686235	74686736	172.5013512839	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS4	chr2	74691519	74692020	803.864523464232	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS3	chr2	74693983	74694484	99.086099233592	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS2	chr2	74702151	74702652	122.945638525544	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS1	chr2	74715677	74716178	69.3724538228231	E10.5	trunk	Del(CBS1-2)	RAD21	rep1
CBS8	chr2	74661755	74662256	558.435463058259	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS7	chr2	74663501	74664002	327.38279394754	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS6	chr2	74672932	74673433	373.532610525322	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS5	chr2	74686235	74686736	141.5826367459	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS4	chr2	74691519	74692020	813.637767851574	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS3	chr2	74693983	74694484	92.4551073024849	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS2	chr2	74702151	74702652	129.537395667649	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS1	chr2	74715677	74716178	79.4860120805404	E10.5	trunk	Del(CBS1-2)	RAD21	rep2
CBS8	chr2	74661755	74662256	614.6085771166	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS7	chr2	74663501	74664002	341.903547917186	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS6	chr2	74672932	74673433	336.362363261758	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS5	chr2	74686235	74686736	160.726325815167	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS4	chr2	74691519	74692020	1022.43266338417	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS3	chr2	74693983	74694484	51.4831954986511	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS2	chr2	74702151	74702652	122.479887084555	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS1	chr2	74715677	74716178	58.8109637170971	E10.5	trunk	Del(CBS1-3)	RAD21	rep1
CBS8	chr2	74661755	74662256	499.987681436443	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS7	chr2	74663501	74664002	270.168821232048	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS6	chr2	74672932	74673433	406.884842680362	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS5	chr2	74686235	74686736	167.493098778639	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS4	chr2	74691519	74692020	827.841067742445	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS3	chr2	74693983	74694484	48.4794840164649	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS2	chr2	74702151	74702652	99.3073343592965	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS1	chr2	74715677	74716178	55.0277508375887	E10.5	trunk	Del(CBS1-3)	RAD21	rep2
CBS8	chr2	74661755	74662256	510.670418988683	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS7	chr2	74663501	74664002	206.605283177541	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS6	chr2	74672932	74673433	336.483977692808	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS5	chr2	74686235	74686736	244.149025374544	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS4	chr2	74691519	74692020	33.8541923848594	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS3	chr2	74693983	74694484	18.430282735142	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS2	chr2	74702151	74702652	101.073188538085	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS1	chr2	74715677	74716178	43.0391396010469	E10.5	trunk	Del(CBS1-4)	RAD21	rep1
CBS8	chr2	74661755	74662256	531.59066078049	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS7	chr2	74663501	74664002	270.252274077334	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS6	chr2	74672932	74673433	367.977263338314	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS5	chr2	74686235	74686736	243.194372759608	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
CBS4	chr2	74691519	74692020	40.1890302570518	E10.5	trunk	Del(CBS1-4)	RAD21	rep2
